title,price,link
"Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDc0MDU0NTE5MTUxNzA0OjE3MzcwOTMxMjU6c3BfYXRmOjMwMDI2MTEyMTI0NDIzMjo6MDo6&url=%2FSamsung-Daybreak-Storage-Corning-Gorilla%2Fdp%2FB0D7Z8FJZ9%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1737093124%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","11,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDc0MDU0NTE5MTUxNzA0OjE3MzcwOTMxMjU6c3BfYXRmOjMwMDM0NTc2NjE1ODEzMjo6MDo6&url=%2FSamsung-Celestial-MediaTek-Dimensity-Security%2Fdp%2FB0DGXB4SX1%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4%26dib_tag%3Dse%26keywords%3Dmobile%26qid%3D1737093124%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,249",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-3
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","8,498",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-4
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","11,999",https://www.amazon.in/Samsung-Storage-MediaTek-Dimensity-Security/dp/B0DGXBSYHS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-5
Blackstar Armstrong - 540° Angle Rotation-Enabled AC Vent/Car Dashboard Mobile Holder/Car Phone Mount/Mobile Phone Holder for Windshield - Use in Office/Home/Bike (Not MAGSAFE Compatible),699,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/JI_LojwOZnoqA1N-RJr1oYkAAAGUctGT6wMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICARuXjG/clv1_CEuOPUxokZA0iHrVWLcwwhr5HXV2U70Zicxa2DmUyON08X9721mmUvw18HHz9hvVjq0yzpNb3X7OfU2IA3t8V1ViDwjME8fyFG0wPRxcTkWeHIdFxYgc6JJGZyeDzR9UsBobr4Br3LC7uKiANafdHOvz56LO8u41rJSAtYf_NQryj_2SzA5iHAfgdMK2dPF1RX4BNMPRk4waGzVhJ9pPeOEBzMmuj9Q7BRDVTeUh3R8Eu592kKrmQUwvwki1wFwcXzj1L_vC-RRzkVMXJNgyNl79V1CCqADWJuyhsJPGcrJuEn3j8K6Y8BeXTTL9Ms2b3fQUJo8ah7-i5ePyAdSkJudp3sh3cjUvlfZMGLoDcPNWGn9k1l7_nX_h0ZAaW1sp/https://www.amazon.in/dp/B0CF1X9YKT?pd_rd_i=B0CF1X9YKT&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=1QNK72AT39VB1N6Q4STS&pd_rd_wg=KtuLj&pd_rd_w=GKMvr&pd_rd_r=b466deb9-8fb8-453c-8703-d93e826b718a
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",https://www.amazon.in/iQOO-Tornado-Storage-Snapdragon-FlashCharge/dp/B07WHQHNZC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-6
"realme NARZO 70x 5G (Ice Blue, 8GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box","11,498",https://www.amazon.in/realme-Storage-Display-Dimensity-Charger/dp/B0D3WXQN8N/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-7
"Tecno POP 9 (Glittery White, 3GB+64GB) |India's 1st Mediatek G50 | IP54 Rated | IR Remote | Dual Speaker with DTS | 36 Month Lag Free Fluency | 15W Fast Charging Support | 5000 mAh Battery","6,099",https://www.amazon.in/Glittery-Mediatek-Speaker-Fluency-Charging/dp/B0DKP5T9F9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-8
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,6GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update","11,999",https://www.amazon.in/Samsung-Storage-MediaTek-Dimensity-Security/dp/B0DGX9VVFV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDwKwlru45-aVkYbYuuzU2oin5lWFj8DwOG_R_M1mekwwcJYUgb-hmidcZwpbCZKOcuA60rTv09tadJUKbOb3ZTJSTaYIwYye-_dnuXk83nFVN16MOvzf32HCBlSX29L1Gd84hY0sw-iDYMbFpOKneI-0OYnsRMLE2tEjtzYP07Iu88iNHq28SY3QrT4jOta3XcxgLY7Acpf1HTrmIgNTu24.5f-TN0-mID7ekjDTvvyE2XUamqO63g61tbx9yuUevU4&dib_tag=se&keywords=mobile&qid=1737093124&sr=8-9
